game_id,vis_team,home_team,vis_score,home_score,OT,game_date
201909050chi,GNB,CHI,10,3,False,2019-09-05
201909080car,LAR,CAR,30,27,False,2019-09-08
201909080cle,TEN,CLE,43,13,False,2019-09-08
201909080crd,DET,ARI,27,27,True,2019-09-08
201909080dal,NYG,DAL,17,35,False,2019-09-08
201909080jax,KAN,JAX,40,26,False,2019-09-08
201909080mia,BAL,MIA,59,10,False,2019-09-08
201909080min,ATL,MIN,12,28,False,2019-09-08
201909080nwe,PIT,NWE,3,33,False,2019-09-08
201909080nyj,BUF,NYJ,17,16,False,2019-09-08
201909080phi,WAS,PHI,27,32,False,2019-09-08
201909080sdg,IND,LAC,24,30,True,2019-09-08
201909080sea,CIN,SEA,20,21,False,2019-09-08
201909080tam,SFO,TAM,31,17,False,2019-09-08
201909090nor,HOU,NOR,28,30,False,2019-09-09
201909090rai,DEN,LVR,16,24,False,2019-09-09
201909120car,TAM,CAR,20,14,False,2019-09-12
201909150atl,PHI,ATL,20,24,False,2019-09-15
201909150cin,SFO,CIN,41,17,False,2019-09-15
201909150den,CHI,DEN,16,14,False,2019-09-15
201909150det,LAC,DET,10,13,False,2019-09-15
201909150gnb,MIN,GNB,16,21,False,2019-09-15
201909150htx,JAX,HOU,12,13,False,2019-09-15
201909150mia,NWE,MIA,43,0,False,2019-09-15
201909150nyg,BUF,NYG,28,14,False,2019-09-15
201909150oti,IND,TEN,19,17,False,2019-09-15
201909150pit,SEA,PIT,28,26,False,2019-09-15
201909150rai,KAN,LVR,28,10,False,2019-09-15
201909150ram,NOR,LAR,9,27,False,2019-09-15
201909150rav,ARI,BAL,17,23,False,2019-09-15
201909150was,DAL,WAS,31,21,False,2019-09-15
201909160nyj,CLE,NYJ,23,3,False,2019-09-16
201909190jax,TEN,JAX,7,20,False,2019-09-19
201909220buf,CIN,BUF,17,21,False,2019-09-22
201909220cle,LAR,CLE,20,13,False,2019-09-22
201909220clt,ATL,IND,24,27,False,2019-09-22
201909220crd,CAR,ARI,38,20,False,2019-09-22
201909220dal,MIA,DAL,6,31,False,2019-09-22
201909220gnb,DEN,GNB,16,27,False,2019-09-22
201909220kan,BAL,KAN,28,33,False,2019-09-22
201909220min,LVR,MIN,14,34,False,2019-09-22
201909220nwe,NYJ,NWE,14,30,False,2019-09-22
201909220phi,DET,PHI,27,24,False,2019-09-22
201909220sdg,HOU,LAC,27,20,False,2019-09-22
201909220sea,NOR,SEA,33,27,False,2019-09-22
201909220sfo,PIT,SFO,20,24,False,2019-09-22
201909220tam,NYG,TAM,32,31,False,2019-09-22
201909230was,CHI,WAS,31,15,False,2019-09-23
201909260gnb,PHI,GNB,34,27,False,2019-09-26
201909290atl,TEN,ATL,24,10,False,2019-09-29
201909290buf,NWE,BUF,16,10,False,2019-09-29
201909290chi,MIN,CHI,6,16,False,2019-09-29
201909290clt,LVR,IND,31,24,False,2019-09-29
201909290crd,SEA,ARI,27,10,False,2019-09-29
201909290den,JAX,DEN,26,24,False,2019-09-29
201909290det,KAN,DET,34,30,False,2019-09-29
201909290htx,CAR,HOU,16,10,False,2019-09-29
201909290mia,LAC,MIA,30,10,False,2019-09-29
201909290nor,DAL,NOR,10,12,False,2019-09-29
201909290nyg,WAS,NYG,3,24,False,2019-09-29
201909290ram,TAM,LAR,55,40,False,2019-09-29
201909290rav,CLE,BAL,40,25,False,2019-09-29
201909300pit,CIN,PIT,3,27,False,2019-09-30
201910030sea,LAR,SEA,29,30,False,2019-10-03
201910060car,JAX,CAR,27,34,False,2019-10-06
201910060cin,ARI,CIN,26,23,False,2019-10-06
201910060dal,GNB,DAL,34,24,False,2019-10-06
201910060htx,ATL,HOU,32,53,False,2019-10-06
201910060kan,IND,KAN,19,13,False,2019-10-06
201910060nor,TAM,NOR,24,31,False,2019-10-06
201910060nyg,MIN,NYG,28,10,False,2019-10-06
201910060oti,BUF,TEN,14,7,False,2019-10-06
201910060phi,NYJ,PHI,6,31,False,2019-10-06
201910060pit,BAL,PIT,26,23,True,2019-10-06
201910060rai,CHI,LVR,21,24,False,2019-10-06
201910060sdg,DEN,LAC,20,13,False,2019-10-06
201910060was,NWE,WAS,33,7,False,2019-10-06
201910070sfo,CLE,SFO,3,31,False,2019-10-07
201910100nwe,NYG,NWE,14,35,False,2019-10-10
201910130cle,SEA,CLE,32,28,False,2019-10-13
201910130crd,ATL,ARI,33,34,False,2019-10-13
201910130den,TEN,DEN,0,16,False,2019-10-13
201910130jax,NOR,JAX,13,6,False,2019-10-13
201910130kan,HOU,KAN,31,24,False,2019-10-13
201910130mia,WAS,MIA,17,16,False,2019-10-13
201910130min,PHI,MIN,20,38,False,2019-10-13
201910130nyj,DAL,NYJ,22,24,False,2019-10-13
201910130ram,SFO,LAR,20,7,False,2019-10-13
201910130rav,CIN,BAL,17,23,False,2019-10-13
201910130sdg,PIT,LAC,24,17,False,2019-10-13
201910130tam,CAR,TAM,37,26,False,2019-10-13
201910140gnb,DET,GNB,22,23,False,2019-10-14
201910170den,KAN,DEN,30,6,False,2019-10-17
201910200atl,LAR,ATL,37,10,False,2019-10-20
201910200buf,MIA,BUF,21,31,False,2019-10-20
