game_id,player_id,player,pos,team
201909050chi,RodgAa00,Aaron Rodgers,QB,GNB
201909050chi,JoneAa00,Aaron Jones,RB,GNB
201909050chi,ValdMa00,Marquez Valdes-Scantling,WR,GNB
201909050chi,AdamDa01,Davante Adams,WR,GNB
201909050chi,GrahJi00,Jimmy Graham,TE,GNB
201909050chi,DaviTr03,Trevor Davis,WR,GNB
201909050chi,TonyRo00,Robert Tonyan,TE,GNB
201909050chi,WillJa06,Jamaal Williams,RB,GNB
201909050chi,LewiMa00,Marcedes Lewis,TE,GNB
201909050chi,TrubMi00,Mitchell Trubisky,QB,CHI
201909050chi,DaviMi01,Mike Davis,RB,CHI
201909050chi,MontDa01,David Montgomery,RB,CHI
201909050chi,RobiAl02,Allen Robinson,WR,CHI
201909050chi,CoheTa00,Tarik Cohen,RB,CHI
201909050chi,GabrTa00,Taylor Gabriel,WR,CHI
201909050chi,ShahAd00,Adam Shaheen,TE,CHI
201909050chi,MillAn02,Anthony Miller,WR,CHI
201909050chi,WimsJa00,Javon Wims,WR,CHI
201909050chi,PattCo00,Cordarrelle Patterson,WR,CHI
201909050chi,VitaDa00,Danny Vitale,FB,GNB
201909050chi,KumeJa00,Jake Kumerow,WR,GNB
201909050chi,BrauBe00,Ben Braunecker,TE,CHI
201909050chi,AlliGe01,Geronimo Allison,WR,GNB
201909050chi,SoweBr00,Bradley Sowell,TE,CHI
201909080car,WoodRo02,Robert Woods,WR,LAR
201909080car,CookBr00,Brandin Cooks,WR,LAR
201909080car,HigbTy00,Tyler Higbee,TE,LAR
201909080car,EverGe00,Gerald Everett,TE,LAR
201909080car,KuppCo00,Cooper Kupp,WR,LAR
201909080car,GoffJa00,Jared Goff,QB,LAR
201909080car,GurlTo01,Todd Gurley,RB,LAR
201909080car,BrowMa03,Malcolm Brown,RB,LAR
201909080car,WrigJa02,Jarius Wright,WR,CAR
201909080car,HogaCh00,Chris Hogan,WR,CAR
201909080car,ThomIa00,Ian Thomas,TE,CAR
201909080car,ReynJo00,Josh Reynolds,WR,LAR
201909080car,NewtCa00,Cam Newton,QB,CAR
201909080car,McCaCh01,Christian McCaffrey,RB,CAR
201909080car,HendDa00,Darrell Henderson,RB,LAR
201909080car,MoorD.00,D.J. Moore,WR,CAR
201909080car,OlseGr00,Greg Olsen,TE,CAR
201909080car,SamuCu00,Curtis Samuel,WR,CAR
201909080car,ArmaAl00,Alex Armah,FB,CAR
201909080car,ManhCh00,Chris Manhertz,TE,CAR
201909080cle,MariMa01,Marcus Mariota,QB,TEN
201909080cle,HenrDe00,Derrick Henry ,RB,TEN
201909080cle,SmitJo01,Jonnu Smith,TE,TEN
