game_id,Temperature,Humidity,Wind_Speed,Roof,Surface
201909050chi,65,69,10,outdoors,grass
201909080car,87,53,3,outdoors,grass
201909080cle,71,55,10,outdoors,grass
201909080crd,72,45,0,retractable roof (closed),grass
201909080dal,72,45,0,retractable roof (closed),fieldturf
201909080jax,91,54,6,outdoors,grass
201909080mia,91,56,8,outdoors,grass
201909080min,72,45,0,dome,sportturf
201909080nwe,66,62,2,outdoors,grass
201909080nyj,77,46,6,outdoors,fieldturf 
201909080phi,79,49,4,outdoors,grass
201909080sdg,77,52,10,outdoors,grass
201909080sea,64,82,7,outdoors,fieldturf
201909080tam,93,52,9,outdoors,grass
201909090nor,72,45,0,dome,astroturf
201909090rai,68,66,15,outdoors,grass
201909120car,85,55,3,outdoors,grass
201909150atl,72,45,0,retractable roof (open),fieldturf
201909150cin,81,45,5,outdoors,grass
201909150den,87,14,3,outdoors,grass
201909150det,72,45,0,dome,fieldturf
201909150gnb,72,75,5,outdoors,grass
201909150htx,72,45,0,retractable roof (closed),grass
201909150mia,87,67,4,outdoors,grass
201909150nyg,79,48,5,outdoors,fieldturf 
201909150oti,93,45,1,outdoors,grass
201909150pit,81,51,3,outdoors,grass
201909150rai,70,61,13,outdoors,grass
201909150ram,85,44,4,outdoors,grass
201909150rav,82,60,8,outdoors,grass
201909150was,80,46,7,outdoors,grass
201909160nyj,72,69,3,outdoors,fieldturf 
201909190jax,73,87,9,outdoors,grass
201909220buf,83,53,13,outdoors,astroturf
201909220cle,83,33,12,outdoors,grass
201909220clt,72,45,0,retractable roof (closed),fieldturf
201909220crd,72,45,0,retractable roof (closed),grass
201909220dal,72,45,0,retractable roof (closed),fieldturf
201909220gnb,69,93,7,outdoors,grass
201909220kan,72,45,0,outdoors,grass
201909220min,72,45,0,dome,sportturf
201909220nwe,81,49,10,outdoors,grass
201909220phi,84,53,7,outdoors,grass
201909220sdg,87,37,4,outdoors,grass
201909220sea,63,85,8,outdoors,fieldturf
201909220sfo,79,36,3,outdoors,grass
201909220tam,88,46,11,outdoors,grass
201909230was,87,39,5,outdoors,grass
201909260gnb,60,62,3,outdoors,grass
201909290atl,72,45,0,retractable roof (closed),fieldturf
201909290buf,58,71,10,outdoors,astroturf
201909290chi,67,89,8,outdoors,grass
201909290clt,72,45,0,retractable roof (closed),fieldturf
201909290crd,72,45,0,retractable roof (closed),grass
201909290den,87,11,14,outdoors,grass
201909290det,72,45,0,dome,fieldturf
201909290htx,72,45,0,retractable roof (closed),grass
201909290mia,88,53,15,outdoors,grass
201909290nor,72,45,0,dome,astroturf
201909290nyg,77,42,11,outdoors,fieldturf 
